Codigo;Provincia;Todas las edades;100 y más años;Proporción
02;Albacete;387529;114;0.0294171532969145
03;Alicante/Alacant;1955268;336;0.0171843450616488
04;Almería;753364;76;0.0100880849098178
01;Araba/Álava;336308;133;0.0395470818416452
33;Asturias;1006060;480;0.0477108721149832
05;Ávila;159764;135;0.0844996369645227
06;Badajoz;666049;150;0.0225208655819617
07;Balears, Illes;1209906;260;0.0214892727203601
08;Barcelona;5797356;1807;0.0311693813524648
48;Bizkaia;1153282;455;0.039452623035823
09;Burgos;357370;229;0.0640792455997985
10;Cáceres;388257;188;0.0484215352202278
11;Cádiz;1254866;166;0.01322850407932
39;Cantabria;588387;260;0.0441886037590905
12;Castellón/Castelló;604086;150;0.0248309015603739
13;Ciudad Real;491927;138;0.0280529428146859
14;Córdoba;775002;213;0.0274838000418063
15;Coruña, A;1123884;501;0.0445775542671664
16;Cuenca;198436;90;0.0453546735471386
20;Gipuzkoa;726712;251;0.0345391296689748
17;Girona;808672;262;0.0323987970400855
18;Granada;934072;167;0.0178787074229824
19;Guadalajara;275082;101;0.0367163245868505
21;Huelva;534084;89;0.0166640453561612
22;Huesca;226878;111;0.0489249728929204
23;Jaén;620637;135;0.0217518452815414
24;León;448573;306;0.0682163215351793
25;Lleida;447343;176;0.039343412102123
27;Lugo;324267;249;0.0767885723801682
28;Madrid;6871903;2211;0.03217449373194
29;Málaga;1752728;223;0.0127230237663802
30;Murcia;1551692;235;0.0151447581092124
31;Navarra;672155;267;0.0397229805625191
32;Ourense;304563;261;0.0856965553924804
34;Palencia;157787;122;0.0773194242871719
35;Palmas, Las;1145843;140;0.0122180787420266
36;Pontevedra;946710;366;0.0386602021738442
26;Rioja, La;322282;143;0.0443710787447018
37;Salamanca;327089;289;0.0883551571590607
38;Santa Cruz de Tenerife;1067173;161;0.0150865885849811
40;Segovia;155332;118;0.0759663173074447
41;Sevilla;1959394;297;0.0151577477526215
42;Soria;89528;87;0.0971763023858458
43;Tarragona;848592;269;0.0316995682259555
44;Teruel;135046;83;0.0614605393717696
45;Toledo;731112;251;0.0343312652507413
46;Valencia/València;2656841;579;0.0217927982893971
47;Valladolid;521333;264;0.0506394185674032
49;Zamora;166927;157;0.0940530890748651
50;Zaragoza;979365;391;0.0399238281947997
51;Ceuta;83052;10;0.0120406492318066
52;Melilla;85493;8;0.00935749125659411
